"","id","text"
"112",1503,"Agreement prisoner releases"
"113",1501,"Agreement elimination sniping activities sarajevo region"
"114",1226,"Joint communique"
"115",1500,"Coreu icfy"
"116",1637,"Agreement demilitarization km total exclusion zone east river drina"
"117",1873,"Vienna agreements"
"118",1499,"Final agreement reached srsg mr akashi bosnian serb civilian military authorities belgrade april"
"119",1198,"Declaration concerning constitution federation bosnia herzegovina proposed constitution federation bosnia herzegovina attached"
"120",1636,"Agreement"
"121",1878,"Principles actions taken establishing future federation army bosnia herzegovina"
"122",1850,"Agreement"
"123",608,"Framework agreement federation washington agreement contact group plan"
"124",1179,"Action plan european union former yugoslavia action plan"
"125",1633,"Agreement ceasefire"
"126",1497,"Peace accord ceasefire camp pleso"
"127",1931,"Protocol understanding civilianmilitary representatives republic srpska unprofor"
"128",1632,"Points agreement"
"129",1872,"Prisoner exchange agreement"
"130",1930,"Results meeting lt gen rose military representatives"
"131",1598,"Agreement january restoration electricity system"
"132",1298,"Joint statement professor mile akmadzic professor nikola koljevic"
"133",1849,"Local ceasefire agreement mostar bijela"
"134",1871,"Agreement lieutenant general roso hvo commander brigadier general jg reith cbe british forces commander reached meeting held monday november tomislavgrad"
"135",1494,"Joint declaration"
"136",1202,"Sarajevo joint declaration"
"137",1493,"Joint statement"
"138",1297,"Declaration"
"139",1569,"Joint statement"
"140",472,"Agreement relating bosnia herzegovina owenstoltenberg peace plan invincible plan"
"141",1630,"Agreement evacuation severely sick wounded"
"142",1490,"Agreement withdrawal forces igman bjelasnica"
"143",1486,"Statement july dr franjo tudjman slobodan milosevic"
"144",1485,"Agreement restore public utilities around city sarajevo"
"145",1628,"Agreement passage humanitarian convoys makarska agreement"
"146",1870,"Agreement"
"147",1177,"Croatserb constitutional principles bosniaherzegovina"
"148",1627,"General agreement halt conflict bosniaherzegovina june"
"149",1626,"Agreement among parties halt conflict central bosnia"
"150",1625,"Negotiating team realisation cease fire agreement bosnia herzegovina"
"151",1172,"Text usrussiaukfrancespain joint action programme jap bosnia"
"152",1847,"Agreement calm situation abih hvo"
"153",1624,"Medjugorje agreement"
"154",1623,"Agreement establishment ceasefire lines contact made lg ratko mladic general milivoj petkovic"
"155",1484,"Agreement cessation hostilities bosnia herzegovina concluded gen milivoj petkovic gen sefer halilovic may presene lt gen philippe morillon ecmmhrc jeanpierre thebault"
"156",1622,"Agreement reached hvo bh army may presence pmez unprofor"
"157",1483,"Agreement demilitarization srebrenica zepa concluded lt gen ratko mladic gen sefer halilovic may presence lt gen philippe morillon"
"158",606,"The vanceowen plan"
"159",1621,"Release civilian prisoners cleaning battle field"
"160",1482,"Joint statement enclosure command structure bih army hvo"
"161",1877,"Order establishment local commissions"
"162",1620,"Agreement"
"163",1027,"Agreement demilitarization srebrenica"
"164",1869,"Agreement reached hvo bih"
"165",1619,"Joint statement issued president republic bosnia herzegovina president republic croatia march zagreb"
"166",1876,"Agreement"
"167",1182,"Agreement"
"168",1848,"General headquarters army bosnia herzegovina abih general headquarters croatian defense council hvo signed agreement head ghq abih head ghq hvo"
"169",1618,"Agreement urgent ceasefire hvo bh army central bosnia"
"170",1617,"Record agreements processes leading peace hvo bih gornji vakuf"
"171",1616,"Agreement separation forces area sarajevo airport collection sarajevo agreements"
"172",1615,"Agreement freedom movement civilians linked safety airport"
"173",1928,"Statement"
"174",1846,"Conclusions"
"175",1613,"Press release"
"176",1611,"Announcement ceasefire vitez municipality"
"177",1612,"Agreement hvo santici representatives muslim people ahmici concluded home nenad santic october"
"178",1479,"Joint statement issued geneva october president yugoslavia president bosnia herzegovina"
"179",1867,"Agreement establishing ceasefire cessation hostilities"
"180",1610,"Agreement release transfer prisoners"
"181",1609,"Addendum agreement friendship cooperation republic bosnia herzegovina republic croatia"
"182",1567,"Declaration september haris silajdzic radovan karadizic mate boban"
"183",1171,"Work programme conference international conference yugoslavia london conference"
"184",1166,"Conclusions implementation existing sanctions international conference yugoslavia london conference"
"185",1165,"Confidence securitybuilding verification london conference"
"186",1167,"Specific decisions london conference international conference former yugoslavia london conference"
"187",1169,"Statement principles bosnia international conference former yugoslavia london conference"
"188",1170,"Programme action humanitarian issues agreed cocharimen conference parties conflict international conference yugoslavia london conference"
"189",1164,"Statement principles international conference yugoslavia london conference"
"190",1608,"Protocol"
"191",1478,"Agreement friendship cooperation republic bosnia herzegovina republic croatia"
"192",1477,"Text agreement signed london july mr boban dr karadzic dr silajdzic"
"193",1476,"Joint statement"
"194",1607,"Agreement mutual release prisoners along line "
"195",1570,"Joint statement"
"196",1589,"Agreement icrc humanitarian principles"
"197",1022,"Agreement june reopening sarajevo airport humanitarian purposes"
"198",1590,"Agreement serbian republic bosnia hercegovina regard opening sarajevo airport"
"199",1591,"Agreement republic bosnia herzegovina regard concentration heavy weapons around sarajevo"
"200",1927,"Agreement icrc geneva"
"201",1475,"Geneva agreement humanitarian principles"
"202",1474,"Sporazum prekidu vatre u bosni hercegovini"
"203",1473,"Agreement removal commands units institutions garrisonsbarracks zenica travnik konjic barracks institutions sarajevo"
"204",1472,"The public announcement graz agreement"
"205",1588,"Ceasefire agreement"
"206",1587,"Protocol ilidza ceasefire"
"207",1470,"Bosniaherzegovina ceasefire agreement"
"208",1469,"Sarajevo declaration humanitarian treatment displaced persons"
"209",547,"Statement principles new constitutional arrangements bosnia herzegovina carringtoncutiliero plan march"
"210",1287,"Statement president security council"
"211",1908,"Proposition portant reglement conflicts"
"212",1934,"Resolution atelier gitega"
"213",713,"Declaration directoire politique processus paix burundi processus mise oeuvre decisions conjointes prises pretoria"
"214",1907,"Declaration palipehutufnl"
"215",712,"Declaration sommet chefs detats gouvernements linitiative regionale processus paix burundi"
"216",1905,"Magaliesburg declaration burundi peace process"
"217",711,"Declaration conjointe palipehutu fnl gouvernement burundi relative cessation hostilites"
"218",336,"Comprehensive ceasefire agreement government republic burundi palipehutu fnl"
"219",702,"Daressalaam agreement principles towards lasting peace security stability burundi"
"220",1421,"Constitution march"
"221",202,"Accord partage pouvoir burundi"
"222",2034,"Contract peaceful cohabitation neighbourhood teza ii kamenge burundi"
"223",2033,"Social contract farmers pastoralists commune rugombo cibitoke province burundi"
"224",1419,"Loi novembre portant amendement constitution transition octobre"
"225",568,"The global ceasefire agreement"
"226",565,"Forces technical agreement transitional government republic burundi cnddfdd"
"227",584,"The protocol outstanding issues political defence security power sharing burundi pretoria ii protocol"
"228",582,"The pretoria protocol political defence security power sharing burundi"
"229",1304,"Joint declaration agreement government burundi cnddfdd pretorial protocol"
"230",1904,"Memorandum agreement implementation ceasefire agreement signedon"
"231",321,"Ceasefire agreement transitional government burundi conseil national defence democratieforces defense democratie"
"232",1425,"Constitution transition octobre"
"233",306,"Arusha peace reconciliation agreement burundi"
"234",380,"Declaration participants peace negotiations burundi"
"235",303,"Agreement embodying convention governance forces democratic change political parties opposition"
"236",1045,"Declaration partis politiques agrees gouvernement contre fauteurs guerre faveur paix securite"
"237",196,"Accord cambodian peoples party cpp national united front independent neutral peaceful cooperative cambodia funcinpec"
"238",243,"Agreement concerning sovereignty independence territorial integrity inviolability neutrality national unity cambodia framework comprehensive political settlement cambodia conflict paris accords"
"239",252,"Agreement comprehensive political settlement cambodia conflict framework comprehensive political settlement cambodia conflict paris accords"
"240",378,"Final act paris conference cambodia framework comprehensive political settlement cambodia conflict paris accords"
"241",364,"Declaration rehabilitation reconstruction cambodia framework comprehensive political settlement cambodia conflict paris accords"
"242",1332,"Statement five permanent members security council united nations cambodia incorporating framework comprehensive political settlement cambodia conflict"
"243",240,"Agreement republic cameroon federal republic nigeria concerning modalities withdrawal transfer authority bakassi peninsula"
"244",1013,"Joint communique establishing cameroonnigeria mixed commission cnmc"
"245",1909,"Political agreement peace central african republic"
"246",1442,"Pacte republicain paix reconciliation nationale reconstruction republique centrafricaine"
"247",2035,"Agreement transitional government armed groups principles disarmament demobilization reintegration repatriation integration uniformed state forces central african republic"
"248",818,"Accord cessation hostilites republique centrafricaine brazzaville agreement cessation hostilities"
"249",1659,"Transitional national charter interim constitution"
"250",809,"Accord politique libreville resolution crise politicosecuritaire republique centrafricaine"
"251",810,"Declaration principe parties negociations libreville crise centrafricaine"
"252",811,"Accord cessezlefeu gouvernement republique centrafricaine coalition seleka"
"253",807,"Acte dadhesion convention patriotes justice paix cpjp laccord paix global libreville"
"254",759,"Accord cessezlefeu dune part lunion forces democratiques rassemblement ufdr dautre part convention patriotes justice paix cpjp"
"255",669,"Accord paix global gouvernement republique centrafricaine mouvements politicomilitaires centrafricains designes ci apres armee populaire restauration democratie aprd front democratique peuple centrafricain fdpc union forces democratique rassemblement ufdr"
"256",670,"Accord cessez feu paix gouvernement republique centrafricaine mouvement politique militaire centrafricain aprd"
"257",760,"Accord paix birao"
"258",676,"Accord paix gouvernement republique centrafricaine mouvements politicomilitaires ciapres designes fdpc ufdr syrte agreement"
"259",464,"National reconciliation pact bangui national reconciliation conference"
"260",443,"Mandate established countries designated th summit france africa interafrican supervision mission bangui agreements"
"261",3,"Declaration heads state bangui bangui accords"
"262",598,"Declaration end rebellious action bangui bangui accords"
"263",488,"Preliminary agreement national reconciliation pact"
"264",133,"Cannes declaration regional dimension darfur crisis"
"265",804,"Communique final sanctionnant rencontre delegation officielle tchadienne front populaire redressement fpr"
"266",762,"Accord paix gouvernement republique tchad mouvement national mn"
"267",761,"Accord paix gouvernement tchad mouvements ciapres ufdd rfc cnt ufddf accord syrte"
"268",1265,"Accord politique vue renforcement processus democratique"
"269",615,"Peace agreement government chad movement pur democratie justice tchad mdjt"
"270",910,"Peace agreement government republic chad movement democracy justice chad mdjt tripoli agreement"
"271",237,"Agreement great socialist peoples libyan arab jamahariya rep chad concerning practical modalitities implementation judgment delivered international court justice february"
"272",716,"Accord ndjamena normalisation relations tchad soudan"
"273",715,"Doha agreement"
"274",714,"Dakar agreement chad sudan signed dakar senegal"
"275",1188,"Accord bilateral developpement renforcement relations soudan tchad accord riyad"
"276",1071,"Statement fourparty peace summit"
"277",1066,"Tripoli agreement settle dispute republic chad republic sudan"
"278",792,"Interstate border defence cooperation agreement india china"
"279",717,"Agreement establishment working mechanism consultation coordination indiachina border affairs"
"280",497,"Protocol government republic india government peoples republic china modalities implementation confidencebuilding measures military field along line actual control indiachina"
"281",234,"Agreement government republic india government peoples republic china confidencebuilding measures military field along line actual control indiachina border areas"
"282",286,"Agreement maintenance peace tranquility along line actual control indiachina border areas"
"283",2074,"Text joint statement"
"284",531,"Agreement russian federation republic kazakstan kyrgyz republic republic tajikstan peoples republic china confidence building military field border area"
"285",1811,"The agreement russian federation republic kazakhstan peoples republic china determining junction point international borders three states"
"286",1807,"Protocol government russian federation government mongolia government peoples republic china describing eastern junction point borders three states"
"287",1808,"Protocol government russian federation government mongolia government peoples republic china describing western junction point borders three states"
"288",1809,"Agreement government russian federation government peoples republic china government mongolia determination points junction national borders three states"
"289",1743,"Supplementary agreement people republic china russian federation eastern section sinorussian border"
"290",1735,"Treaty goodneighborliness friendly cooperation peoples republic china russian federation"
"291",1742,"Joint declaration peoples republic china therussian federation adopted beijing april"
"292",1741,"Agreement western section boundary prc russian federation signed foreign ministers andrei kozyrev qian qichen"
"293",1740,"Agreement eastern section boundary union soviet socialist republics peoples republic china sinosoviet border agreement"
"294",2045,"Joint announcement national government national liberation army eln"
"295",2043,"Comunicado conjunto gobierno nacional liberacion nacional eln joint announcement national government national liberation army elnapplication security council united nations participation verification implementation bilateral temporary national ceasefire cfbtn agreed government colombia national liberation army eln"
"296",1890,"Communicado conjunto acuerdo quito"
"297",1937,"Comunicado conjunto"
"298",1936,"Comunicado conjunto"
"299",1845,"Final agreement end armed conflict build stable lasting peace"
"300",2127,"Farc letter christians anyone professes religion"
"301",2068,"Joint communique final agreement plebiscite ceasefire"
"302",1821,"Joint communique"
"303",2065,"Joint communique"
"304",1736,"Agreement bilateral final ceasefire end hostilities surrender weapons"
"305",1796,"Agreement security guarantees fight criminal organisations responsible killings massacres infringe defenders human rights social movements political movements including criminal organisations named successors paramilitary groups support networks persecution criminal behavior threatens implementation agreements building peace"
"306",1655,"Joint communique"
"307",1656,"Joint communique"
"308",1935,"Agreement national government eln establish peace talks colombia"
"309",1548,"Joint communique"
"310",1549,"Joint communique"
"311",1547,"Agreement victims conflict comprehensive system truth justice reparation nonrepitition including special jurisdiction peace commitment human rights"
"312",1368,"Joint communique havana"
"313",1369,"Joint communique regarding agreement creation special jurisdiction peace"
"314",1397,"Joint communique havana"
"315",1398,"Joint report dialogue table government revolutionary armed forces colombia peoples army"
"316",1396,"Joint communique havana"
"317",1395,"Joint communique havana"
"318",1394,"Joint communique havana december"
"319",1392,"Joint communique havana august"
